,NIP,Cl_Parcours1,Cl_T1,X_abscisse
315,N201802324,1.0,2.0,60.70826306914048
249,N201706141,1.0,2.0,60.876897133221426
173,N201505285,1.0,2.0,61.045531197302374
221,N201702058,1.0,2.0,61.21416526138332
178,N201506798,1.0,2.0,61.38279932546427
323,N201802542,1.0,2.0,61.55143338954522
325,N201802626,1.0,2.0,61.720067453626164
346,N201803347,1.0,2.0,61.88870151770711
350,N201803436,1.0,2.0,62.05733558178806
383,N201804317,1.0,3.0,62.22596964586901
378,N201804153,1.0,3.0,62.394603709949955
370,N201803826,1.0,3.0,62.5632377740309
381,N201804221,1.0,3.0,62.73187183811185
393,N201804570,1.0,3.0,62.9005059021928
410,N201804955,1.0,3.0,63.069139966273745
384,N201804329,1.0,3.0,63.23777403035469
429,N201805251,1.0,3.0,63.40640809443564
436,N201805313,1.0,3.0,63.57504215851659
206,N201604865,1.0,3.0,63.743676222597536
457,N201805782,1.0,3.0,63.91231028667848
469,N201805966,1.0,3.0,64.08094435075942
23,N199704298,1.0,3.0,64.24957841484037
406,N201804767,1.0,3.0,64.41821247892132
376,N201804104,1.0,3.0,64.58684654300227
212,N201606342,1.0,3.0,64.75548060708321
3,N198510292,1.0,3.0,64.92411467116416
0,N198300511,1.0,3.0,65.09274873524511
400,N201804681,1.0,3.0,65.26138279932606
418,N201805117,1.0,3.0,65.430016863407
377,N201804119,1.0,3.0,65.59865092748795
464,N201805928,1.0,3.0,65.7672849915689
446,N201805561,1.0,3.0,65.93591905564985
438,N201805357,1.0,3.0,66.1045531197308
531,N201806643,1.0,3.0,66.27318718381174
214,N201700156,1.0,3.0,66.44182124789269
553,N201807038,1.0,3.0,66.61045531197364
485,N201806254,1.0,3.0,66.77908937605459
563,N201807197,1.0,3.0,66.94772344013553
10,N198902913,1.0,3.0,67.11635750421648
564,N201807215,1.0,3.0,67.28499156829743
181,N201600360,1.0,3.0,67.45362563237838
514,N201806512,1.0,3.0,67.62225969645932
39,N200303315,1.0,3.0,67.79089376054027
253,N201706490,1.0,3.0,67.95952782462122
536,N201806718,1.0,3.0,68.12816188870217
569,N201807350,1.0,3.0,68.29679595278311
185,N201600921,1.0,3.0,68.46543001686406
20,N199702270,1.0,3.0,68.63406408094501
79,N200905749,1.0,3.0,68.80269814502596
222,N201702085,1.0,3.0,68.9713322091069
103,N201202367,1.0,3.0,69.13996627318785
111,N201204874,1.0,3.0,69.3086003372688
368,N201803799,1.0,3.0,69.47723440134975
592,N201900017,1.0,3.0,69.6458684654307
529,N201806627,1.0,3.0,69.81450252951164
94,N201105723,1.0,3.0,69.98313659359259
412,N201804973,1.0,3.0,70.15177065767354
560,N201807157,1.0,3.0,70.32040472175449
28,N200000242,1.0,3.0,70.48903878583543
242,N201705187,1.0,3.0,70.65767284991638
557,N201807068,1.0,3.0,70.82630691399733
