,NIP,Cl_P1
1050,N201307572,1
1051,N201307574,1
1052,N201307612,1
1053,N201307649,3
1054,N201307669,1
1055,N201307678,1
1056,N201307740,1
1057,N201307801,1
1058,N201307822,1
1059,N201307828,1
1060,N201307871,1
1061,N201307932,3
1062,N201307968,0
1063,N201307998,1
1064,N201308004,1
1065,N201400002,1
1066,N201400158,1
1067,N201400228,1
1068,N201400248,0
1069,N201400337,1
1070,N201400367,1
1071,N201400423,1
1072,N201400453,1
1073,N201400505,1
1074,N201400528,1
1075,N201400553,1
1076,N201400607,1
1077,N201400655,1
1078,N201400704,1
1079,N201400750,1
1080,N201400777,1
1081,N201400798,1
1082,N201400893,1
1083,N201400947,3
1084,N201401019,1
1085,N201401124,3
1086,N201401132,1
1087,N201401154,1
1088,N201401161,1
1089,N201401267,0
1090,N201401275,1
1091,N201401399,1
1092,N201401492,1
1093,N201401754,1
1094,N201401765,1
1095,N201401767,1
1096,N201401799,1
1097,N201401803,1
1098,N201401810,1
1099,N201401817,1
1100,N201401848,1
1101,N201401852,1
1102,N201401867,1
1103,N201401910,1
1104,N201401944,1
1105,N201401972,1
1106,N201402064,1
1107,N201402107,1
1108,N201402119,1
1109,N201402144,1
1110,N201402170,1
1111,N201402225,1
1112,N201402294,1
1113,N201402330,1
1114,N201402364,1
1115,N201402369,3
1116,N201402450,1
1117,N201402464,1
1118,N201402485,1
1119,N201402489,3
1120,N201402511,1
1121,N201402588,1
1122,N201402594,3
1123,N201402596,1
1124,N201402647,1
1125,N201402654,1
1126,N201402700,1
1127,N201402747,1
1128,N201402753,1
1129,N201402754,1
1130,N201402857,0
1131,N201402874,1
1132,N201402882,1
1133,N201402934,1
1134,N201402940,1
1135,N201403107,1
1136,N201403108,1
1137,N201403120,3
1138,N201403201,1
1139,N201403210,1
1140,N201403226,1
1141,N201403231,3
1142,N201403236,1
1143,N201403279,1
1144,N201403337,1
1145,N201403342,2
1146,N201403387,1
1147,N201403392,1
1148,N201403395,1
1149,N201403490,1
1150,N201403545,1
1151,N201403653,1
1152,N201403660,1
1153,N201403674,1
