,NIP,Cl_P
749,N201803120,0
750,N201803145,2
751,N201803152,1
752,N201803187,1
753,N201803188,1
754,N201803204,1
755,N201803217,2
756,N201803255,2
757,N201803283,2
758,N201803298,2
759,N201803311,2
760,N201803332,0
761,N201803347,2
762,N201803371,2
763,N201803415,2
764,N201803419,2
765,N201803420,0
766,N201803436,2
767,N201803450,1
768,N201803452,2
769,N201803456,1
770,N201803465,1
771,N201803468,2
772,N201803494,2
773,N201803500,2
774,N201803520,1
775,N201803528,2
776,N201803561,2
777,N201803567,2
778,N201803618,2
779,N201803632,2
780,N201803635,1
781,N201803645,2
782,N201803672,2
783,N201803679,2
784,N201803684,2
785,N201803686,1
786,N201803697,2
787,N201803721,2
788,N201803724,1
789,N201803763,2
790,N201803767,3
791,N201803770,1
792,N201803775,2
793,N201803776,0
794,N201803788,2
795,N201803799,0
796,N201803804,2
797,N201803806,1
798,N201803826,2
799,N201803896,2
800,N201803897,2
801,N201803904,2
802,N201803964,0
803,N201803976,2
804,N201803999,1
805,N201804032,2
806,N201804085,1
807,N201804104,2
808,N201804110,2
809,N201804119,1
810,N201804153,2
811,N201804171,3
812,N201804215,2
813,N201804221,1
814,N201804223,1
815,N201804229,2
816,N201804307,2
817,N201804317,0
818,N201804328,2
819,N201804329,1
820,N201804352,2
821,N201804353,2
822,N201804362,1
823,N201804384,1
824,N201804388,2
825,N201804398,2
826,N201804400,3
827,N201804401,2
828,N201804406,0
829,N201804420,2
830,N201804428,1
831,N201804453,1
832,N201804465,1
833,N201804469,2
834,N201804530,3
835,N201804565,2
836,N201804566,3
837,N201804570,1
838,N201804581,2
839,N201804586,2
840,N201804618,2
841,N201804632,2
842,N201804637,1
843,N201804651,1
844,N201804656,0
845,N201804663,2
846,N201804681,1
847,N201804697,2
848,N201804723,2
849,N201804738,2
850,N201804739,2
851,N201804755,1
852,N201804761,3
853,N201804767,1
854,N201804780,1
855,N201804813,3
856,N201804852,3
857,N201804871,2
858,N201804883,0
859,N201804888,0
860,N201804914,1
861,N201804921,2
862,N201804923,2
863,N201804926,2
864,N201804955,3
865,N201804956,2
866,N201804959,3
867,N201804973,2
868,N201805045,1
869,N201805059,1
870,N201805065,2
871,N201805078,1
872,N201805100,2
873,N201805107,2
874,N201805108,2
875,N201805109,2
876,N201805111,1
877,N201805117,2
878,N201805127,1
879,N201805132,2
880,N201805133,2
881,N201805151,3
882,N201805166,2
883,N201805167,2
884,N201805168,1
885,N201805169,2
886,N201805184,3
887,N201805195,1
888,N201805196,3
889,N201805198,0
890,N201805209,2
891,N201805242,2
892,N201805250,2
893,N201805251,3
894,N201805255,3
895,N201805263,2
896,N201805272,2
897,N201805284,0
898,N201805285,2
899,N201805292,2
900,N201805301,0
901,N201805304,2
902,N201805305,2
903,N201805313,2
904,N201805326,0
905,N201805332,2
906,N201805343,2
907,N201805356,2
908,N201805357,0
909,N201805364,2
910,N201805381,2
911,N201805388,2
912,N201805429,3
913,N201805440,1
914,N201805448,2
915,N201805463,2
916,N201805471,0
917,N201805475,0
918,N201805486,1
919,N201805499,2
920,N201805502,2
921,N201805507,1
922,N201805524,1
923,N201805554,0
924,N201805561,0
925,N201805569,3
926,N201805579,2
927,N201805589,2
928,N201805591,3
929,N201805613,0
930,N201805622,3
931,N201805626,2
932,N201805634,1
933,N201805647,0
934,N201805658,1
935,N201805693,2
936,N201805723,2
937,N201805724,2
938,N201805739,3
939,N201805745,2
940,N201805746,2
941,N201805747,1
942,N201805750,3
943,N201805760,2
944,N201805767,1
945,N201805773,2
946,N201805775,2
947,N201805782,2
948,N201805787,2
949,N201805789,2
950,N201805798,3
951,N201805831,1
952,N201805833,3
953,N201805836,2
954,N201805847,2
955,N201805880,2
956,N201805884,2
957,N201805900,1
958,N201805928,2
959,N201805931,2
960,N201805934,1
961,N201805939,2
962,N201805955,2
963,N201805962,0
964,N201805966,3
965,N201805972,2
966,N201805973,2
967,N201805992,2
968,N201806034,2
969,N201806047,2
970,N201806055,3
971,N201806061,2
972,N201806067,2
973,N201806070,2
974,N201806114,0
975,N201806116,3
976,N201806148,2
977,N201806159,2
978,N201806174,1
979,N201806183,2
980,N201806185,0
981,N201806186,1
982,N201806193,2
983,N201806197,2
984,N201806241,1
985,N201806254,2
986,N201806256,2
987,N201806271,0
988,N201806283,2
989,N201806285,0
990,N201806287,2
991,N201806295,2
992,N201806296,2
993,N201806297,3
994,N201806314,2
995,N201806331,1
996,N201806335,2
997,N201806338,0
998,N201806343,2
999,N201806345,2
1000,N201806349,2
1001,N201806356,1
1002,N201806365,1
1003,N201806370,2
1004,N201806397,2
1005,N201806398,1
1006,N201806400,3
1007,N201806407,2
1008,N201806408,2
1009,N201806418,0
1010,N201806419,2
1011,N201806425,1
1012,N201806433,2
1013,N201806437,2
1014,N201806441,2
1015,N201806442,1
1016,N201806459,2
1017,N201806465,2
1018,N201806474,3
1019,N201806478,2
1020,N201806479,2
1021,N201806486,2
1022,N201806488,2
1023,N201806491,2
1024,N201806496,2
1025,N201806500,2
1026,N201806507,2
1027,N201806512,3
1028,N201806524,2
1029,N201806528,0
1030,N201806541,3
1031,N201806548,0
1032,N201806561,1
1033,N201806566,2
1034,N201806567,2
1035,N201806569,3
1036,N201806577,3
1037,N201806578,1
1038,N201806582,2
1039,N201806586,3
1040,N201806589,3
1041,N201806590,3
1042,N201806591,3
1043,N201806595,2
1044,N201806597,2
1045,N201806601,2
1046,N201806606,2
1047,N201806627,3
1048,N201806628,1
1049,N201806639,3
1050,N201806643,0
1051,N201806652,3
1052,N201806655,1
1053,N201806679,3
1054,N201806682,1
1055,N201806690,2
1056,N201806717,2
1057,N201806718,2
1058,N201806731,0
1059,N201806739,1
1060,N201806746,2
1061,N201806749,2
1062,N201806753,1
1063,N201806767,2
1064,N201806770,2
1065,N201806778,2
1066,N201806786,2
